,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
41,90,Finding Dory,43,1028570942,486295561.0,47.3,542275381,52.7,2016,Walt Disney Studios Motion Pictures,135060273.0,90344416.66666667,6.0,PG,97.0,51.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,92,Star Wars: Episode I  The Phantom Menace,44,1027082707,474544677.0,46.2,552538030,53.8,1999,Twentieth Century Fox,64820970.0,115000000.0,5.0,PG,136.0,3.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
43,94,Alice in Wonderland,45,1025468216,334191110.0,32.6,691277106,67.4,2010,Walt Disney Studios Motion Pictures,116101023.0,200000000.0,3.0,PG,108.0,60.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,96,Zootopia,46,1024121104,341268248.0,33.3,682852856,66.7,2016,Walt Disney Studios Motion Pictures,75063401.0,90344416.66666667,2.0,PG,108.0,60.0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45,98,Harry Potter and the Sorcerer's Stone,47,1017662278,318886962.0,31.3,698775316,68.7,2001,Warner Bros.,90294621.0,125000000.0,11.0,PG,152.0,22.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,100,The Hobbit: An Unexpected Journey,48,1017003568,303003568.0,29.8,714000000,70.2,2012,Warner Bros.,84617303.0,90344416.66666667,12.0,PG13,169.0,57.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,102,The Dark Knight,49,1005973645,534858444.0,53.2,471115201,46.8,2008,Warner Bros.,158411483.0,185000000.0,7.0,PG13,152.0,63.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,104,Harry Potter and the Deathly Hallows: Part 1,50,977043483,296347721.0,30.3,680695762,69.7,2010,Warner Bros.,125017372.0,90344416.66666667,11.0,PG13,146.0,69.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49,106,Despicable Me 2,51,970766005,368065385.0,37.9,602700620,62.1,2013,Universal Pictures,83517315.0,76000000.0,6.0,PG,98.0,69.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,108,The Jungle Book,52,966554929,364001123.0,37.7,602553806,62.3,2016,Walt Disney Studios Motion Pictures,103261464.0,175000000.0,4.0,PG,106.0,60.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
