,URL,Rank,Title,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Genres,Markets
418,/title/tt0290002/?ref_=bo_cso_table_11,211,Meet the Fockers,522657936,279261160.0,53.4,243396776,46.6,2004-01-01,Universal Pictures,46120980.0,80000000.0,1900-12-01,PG13,1 hr 55 min,"Comedy
    
        Romance",67.0
419,/title/tt0910970/?ref_=bo_cso_table_12,212,WALL·E,521311890,223808164.0,42.9,297503726,57.1,2008-01-01,Walt Disney Studios Motion Pictures,63087526.0,180000000.0,1900-06-01,,1 hr 38 min,"Adventure
    
        Animation
    
        Family
    
        SciFi",63.0
420,/title/tt2267968/?ref_=bo_cso_table_13,213,Kung Fu Panda 3,521170825,143528619.0,27.5,377642206,72.5,2016-01-01,Twentieth Century Fox,41282042.0,145000000.0,1900-01-01,PG,1 hr 35 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",63.0
421,/title/tt0103064/?ref_=bo_cso_table_14,214,Terminator 2: Judgment Day,520881154,205881154.0,39.5,315000000,60.5,1991-01-01,TriStar Pictures,31765506.0,102000000.0,1900-07-01,R,2 hr 17 min,"Action
    
        SciFi",
422,/title/tt0478970/?ref_=bo_cso_table_15,215,AntMan,519311965,180202163.0,34.7,339109802,65.3,2015-01-01,Walt Disney Studios Motion Pictures,57225526.0,130000000.0,1900-07-01,PG13,1 hr 57 min,"Action
    
        Adventure
    
        Comedy
    
        SciFi",
423,/title/tt2709692/?ref_=bo_cso_table_16,216,The Grinch,512568819,271094731.0,52.9,241474088,47.1,2018-01-01,Universal Pictures,67572855.0,75000000.0,1900-11-01,PG,1 hr 25 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical",66.0
424,/title/tt0099653/?ref_=bo_cso_table_17,217,Ghost,505703557,217631306.0,43.0,288072251,57.0,1990-01-01,Paramount Pictures,12191540.0,22000000.0,1900-07-01,,2 hr 7 min,"Drama
    
        Fantasy
    
        Romance
    
        Thriller",
425,/title/tt0103639/?ref_=bo_cso_table_18,218,Aladdin,504050219,217350219.0,43.1,286700000,56.9,1992-01-01,Walt Disney Studios Motion Pictures,91500929.0,183000000.0,1900-05-01,PG,2 hr 8 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance",53.0
426,/title/tt0103639/?ref_=bo_cso_table_18,218,Aladdin,504050219,217350219.0,43.1,286700000,56.9,1992-01-01,Walt Disney Studios Motion Pictures,91500929.0,183000000.0,1900-05-01,PG,2 hr 8 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance",53.0
427,/title/tt0103639/?ref_=bo_cso_table_18,218,Aladdin,504050219,217350219.0,43.1,286700000,56.9,1992-01-01,Walt Disney Studios Motion Pictures,196664.0,28000000.0,1900-11-01,,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance",6.0
428,/title/tt7097896/?ref_=bo_cso_table_19,219,Venom: Let There Be Carnage,502017403,213517403.0,42.5,288500000,57.5,2021-01-01,Sony Pictures Entertainment (SPE),90033210.0,,1900-09-01,PG13,1 hr 37 min,"Action
    
        Adventure
    
        SciFi
    
        Thriller",6.0
429,/title/tt2357291/?ref_=bo_cso_table_20,220,Rio 2,498781117,131538435.0,26.4,367242682,73.6,2014-01-01,Twentieth Century Fox,39327869.0,103000000.0,1900-03-01,G,1 hr 41 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Music
    
        Musical",6.0
430,/title/tt0332452/?ref_=bo_cso_table_21,221,Troy,497409852,133378256.0,26.8,364031596,73.2,2004-01-01,Warner Bros.,46865412.0,175000000.0,1900-05-01,R,2 hr 43 min,"Drama
    
        History",6.0
431,/title/tt0120363/?ref_=bo_cso_table_22,222,Toy Story 2,497375381,245852179.0,49.4,251523202,50.6,1999-01-01,Walt Disney Studios Motion Pictures,300163.0,90000000.0,1900-11-01,,1 hr 32 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",
432,/title/tt0892769/?ref_=bo_cso_table_23,223,How to Train Your Dragon,494879471,217581231.0,44.0,277298240,56.0,2010-01-01,DreamWorks,43732319.0,165000000.0,1900-03-01,PG,1 hr 38 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy",60.0
433,/title/tt0117998/?ref_=bo_cso_table_24,224,Twister,494471524,241721524.0,48.9,252750000,51.1,1996-01-01,Warner Bros.,41059405.0,92000000.0,1900-05-01,,1 hr 53 min,"Action
    
        Adventure
    
        Thriller",
434,/title/tt1623205/?ref_=bo_cso_table_25,225,Oz the Great and Powerful,493311825,234911825.0,47.6,258400000,52.4,2013-01-01,Walt Disney Studios Motion Pictures,79110453.0,215000000.0,1900-03-01,PG,2 hr 10 min,"Adventure
    
        Family
    
        Fantasy",
435,/title/tt0800320/?ref_=bo_cso_table_26,226,Clash of the Titans,493214993,163214888.0,33.1,330000105,66.9,2010-01-01,Warner Bros.,61235105.0,125000000.0,1900-03-01,PG13,1 hr 46 min,"Action
    
        Adventure
    
        Fantasy",
436,/title/tt4777008/?ref_=bo_cso_table_27,227,Maleficent: Mistress of Evil,491730089,113929605.0,23.2,377800484,76.8,2019-01-01,Walt Disney Studios Motion Pictures,36948713.0,185000000.0,1900-10-01,PG,1 hr 59 min,"Adventure
    
        Family
    
        Fantasy",
437,/title/tt3450958/?ref_=bo_cso_table_28,228,War for the Planet of the Apes,490719763,146880162.0,29.9,343839601,70.1,2017-01-01,Twentieth Century Fox,56262929.0,150000000.0,1900-07-01,PG13,2 hr 20 min,"Action
    
        Adventure
    
        Drama
    
        SciFi
    
        Thriller",
438,/title/tt0126029/?ref_=bo_cso_table_29,229,Shrek,487853320,267665011.0,54.9,220188309,45.1,2001-01-01,DreamWorks Distribution,42347760.0,60000000.0,1900-05-01,PG,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Romance",46.0
439,/title/tt0356910/?ref_=bo_cso_table_30,230,Mr. & Mrs. Smith,487287646,186336279.0,38.2,300951367,61.8,2005-01-01,Twentieth Century Fox,50342878.0,110000000.0,1900-06-01,PG13,2 hr,"Action
    
        Comedy
    
        Crime
    
        Thriller",46.0
440,/title/tt0808151/?ref_=bo_cso_table_31,231,Angels & Demons,485930816,133375846.0,27.4,352554970,72.6,2009-01-01,Sony Pictures Entertainment (SPE),46204168.0,150000000.0,1900-05-01,PG13,2 hr 18 min,"Action
    
        Mystery
    
        Thriller",46.0
441,/title/tt1291150/?ref_=bo_cso_table_32,232,Teenage Mutant Ninja Turtles,485004754,191204754.0,39.4,293800000,60.6,2014-01-01,Paramount Pictures,65575105.0,125000000.0,1900-08-01,PG13,1 hr 41 min,"Action
    
        Adventure
    
        Comedy
    
        SciFi",46.0
